draw,roc_auc__isds_v1,average_precision__isds_v1,roc_auc__isds_energy_component,average_precision__isds_energy_component,roc_auc__isds_context_component,average_precision__isds_context_component,auc_diff_isds_minus_energy,auc_diff_isds_minus_context
23,0.9767857142857143,0.9690760454379379,0.8982142857142857,0.8971793156139132,0.8598214285714286,0.67316171880688,0.07857142857142851,0.11696428571428563
24,0.7906602254428341,0.6450991268892221,0.6602254428341385,0.5716780542308522,0.8075684380032206,0.8266156536980924,0.13043478260869557,-0.01690821256038655
25,0.9586206896551724,0.9073260073260073,0.9275862068965517,0.8795959595959596,0.7931034482758621,0.502994227994228,0.03103448275862075,0.16551724137931034
26,0.9950617283950617,0.9913888888888889,0.9358024691358025,0.9369488536155203,0.9,0.8610305620305622,0.059259259259259234,0.09506172839506166
27,0.9118279569892473,0.7065864544811914,0.843010752688172,0.6215839544012918,0.9258064516129032,0.9230985680985682,0.0688172043010753,-0.013978494623655857
28,0.90625,0.6233730158730159,0.80625,0.4758121237000548,0.8359375,0.6422835497835498,0.09999999999999998,0.0703125
29,0.9243697478991597,0.7034854869441336,0.8298319327731093,0.5764904685957318,0.8970588235294118,0.7423777955544872,0.09453781512605042,0.027310924369747913
30,0.8729838709677419,0.6398592909283699,0.7762096774193549,0.5726441410784442,0.9122983870967742,0.8550203042041911,0.09677419354838701,-0.03931451612903236
31,0.992,0.9934557413600891,0.894,0.9374890840943473,0.915,0.9192349971002153,0.09799999999999998,0.07699999999999996
32,0.9288194444444444,0.7703929933370723,0.8246527777777778,0.6596242758467024,0.8194444444444444,0.5589818956651211,0.10416666666666663,0.109375
33,0.9104084321475626,0.8060305436614214,0.8168642951251647,0.7137181497562222,0.7944664031620553,0.7003037955514724,0.09354413702239794,0.11594202898550732
34,0.9607843137254902,0.8228930437753967,0.8509803921568627,0.6853195365579268,0.8960784313725491,0.8259361009361009,0.1098039215686275,0.06470588235294117
35,0.9425925925925925,0.8423286824637948,0.8629629629629629,0.7656751517316532,0.9037037037037037,0.787696601189286,0.0796296296296296,0.03888888888888886
36,0.9876923076923076,0.9787545787545788,0.96,0.9524161735700196,0.88,0.7485014558091481,0.027692307692307683,0.10769230769230764
37,0.923828125,0.780766391448137,0.876953125,0.7177614745290829,0.8642578125,0.8360944579894388,0.046875,0.0595703125
38,0.9308035714285714,0.8009486903812562,0.8928571428571429,0.7512647780468364,0.8794642857142857,0.7016663891663891,0.03794642857142849,0.0513392857142857
39,0.9266409266409267,0.6981387868605914,0.7992277992277992,0.5333394243942674,0.8513513513513513,0.6453020176704387,0.1274131274131275,0.07528957528957536
40,0.8814655172413793,0.6790868308355731,0.7844827586206896,0.5852894006746309,0.8599137931034483,0.6264792342270892,0.09698275862068972,0.02155172413793105
41,0.9338235294117647,0.695467903556139,0.803921568627451,0.527025462962963,0.8578431372549019,0.7433714232627276,0.1299019607843137,0.07598039215686281
42,0.9363395225464191,0.7828579764814584,0.8992042440318302,0.7533806471306471,0.8713527851458885,0.715064778526317,0.037135278514588865,0.06498673740053051
43,0.9175412293853074,0.8260521021411706,0.8350824587706147,0.7655156258281217,0.8350824587706147,0.7681040508675454,0.08245877061469264,0.08245877061469264
44,0.9743589743589743,0.8344122147693576,0.8424908424908425,0.6755566719852435,0.8443223443223443,0.5099864753383976,0.13186813186813184,0.13003663003663002
45,0.8974358974358975,0.7072579547502149,0.8076923076923077,0.6109175959059859,0.9102564102564102,0.8709516604253447,0.08974358974358976,-0.012820512820512775
46,0.9784615384615385,0.9637820512820512,0.9476923076923077,0.9290997464074388,0.9138461538461539,0.8974174947859159,0.03076923076923077,0.06461538461538463
47,0.9254807692307693,0.7009195932272856,0.8052884615384616,0.5667304200365068,0.90625,0.7557495366023794,0.12019230769230771,0.019230769230769273
48,0.9229166666666667,0.8252872312679319,0.85,0.7596514068147195,0.8989583333333333,0.8091271696140115,0.07291666666666674,0.023958333333333415
49,0.9791666666666666,0.9734258286647993,0.9583333333333334,0.9586166437728938,0.9166666666666666,0.9101820733614212,0.02083333333333326,0.0625
50,0.9625,0.8311797668705564,0.8625,0.7169870882041933,0.8919642857142858,0.7451234991859992,0.09999999999999998,0.07053571428571426
51,0.9047619047619048,0.5632962275819419,0.8571428571428571,0.4684283969998256,0.8833333333333333,0.8180581323438466,0.04761904761904767,0.021428571428571463
52,0.9574074074074074,0.8452945973779307,0.8722222222222222,0.7460462606231439,0.8925925925925926,0.7515074022632743,0.08518518518518514,0.06481481481481477
53,0.8933333333333333,0.7788357631798594,0.74,0.6870810513292397,0.8958333333333334,0.8406076235304288,0.15333333333333332,-0.0025000000000000577
54,0.9193548387096774,0.7573072211340676,0.8824884792626728,0.6984382505916119,0.782258064516129,0.5581299075061986,0.03686635944700456,0.13709677419354838
55,0.9090909090909091,0.8145689251498489,0.8518518518518519,0.7745427969540273,0.8619528619528619,0.839681879688013,0.0572390572390572,0.047138047138047146
56,0.9435483870967742,0.7748122860255213,0.9220430107526881,0.7146608021608022,0.8951612903225806,0.7478970305057261,0.021505376344086113,0.048387096774193616
57,0.9886363636363636,0.985702614379085,0.9318181818181818,0.9454365079365079,0.9318181818181818,0.7392509811095338,0.05681818181818188,0.05681818181818188
58,0.9915966386554622,0.9872721018231855,0.9117647058823529,0.9175859887892867,0.8382352941176471,0.694727466277444,0.0798319327731093,0.15336134453781514
59,0.961768219832736,0.9565994541704178,0.8637992831541219,0.8894498020080753,0.8829151732377539,0.8800524426865437,0.09796893667861406,0.07885304659498205
60,0.9382940108892922,0.8268717679472829,0.8511796733212341,0.7399634263044724,0.882940108892922,0.7590964303341474,0.08711433756805809,0.05535390199637025
61,0.9114219114219114,0.7153972572107843,0.8484848484848485,0.6264409670968644,0.8636363636363636,0.7642581842709719,0.06293706293706292,0.04778554778554778
62,0.8611111111111112,0.5567749501960028,0.7649572649572649,0.46364972410368827,0.7959401709401709,0.6946646458855004,0.09615384615384626,0.06517094017094027
63,0.9578163771712159,0.8778519681666673,0.7903225806451613,0.7592036048806113,0.8517369727047146,0.7032539998118117,0.16749379652605467,0.10607940446650133
64,0.9857142857142858,0.9804294827979039,0.9232142857142858,0.9310446081266516,0.925,0.9223319027149671,0.0625,0.06071428571428572
65,0.9861111111111112,0.9789514294996751,0.9404761904761905,0.938293784946929,0.9166666666666666,0.8455127896794563,0.045634920634920695,0.06944444444444453
66,0.9571428571428572,0.7314484126984127,0.8928571428571429,0.6025618580765639,0.9357142857142857,0.8106150793650793,0.06428571428571428,0.021428571428571463
67,0.9396551724137931,0.8083552275575302,0.8943965517241379,0.7397453498943437,0.9224137931034483,0.7398503963142121,0.04525862068965525,0.017241379310344862
68,1.0,1.0,0.9308823529411765,0.964832438027711,0.9794117647058823,0.9905837197575953,0.0691176470588235,0.020588235294117685
69,0.9473684210526315,0.7080729455729458,0.8048245614035088,0.5200352127983707,0.9122807017543859,0.8199349462936419,0.14254385964912275,0.03508771929824561
70,0.9013282732447818,0.74157928440163,0.7950664136622391,0.6337784946121313,0.8244781783681214,0.6630359531147203,0.10626185958254275,0.07685009487666039
71,0.9274193548387096,0.7392509811095338,0.8125,0.6245559995559995,0.9284274193548387,0.9123638057848584,0.11491935483870963,-0.0010080645161291146
72,0.9920424403183024,0.9855769230769231,0.9549071618037135,0.9290997464074388,0.9018567639257294,0.7383977133977133,0.037135278514588865,0.09018567639257291
